18, Alpha1
14, Alpha1
6, Alpha2
13, Alpha7
5, Alpha2
8, Alpha7
3, Alpha2
15, Alpha2
9, Alpha5
17, Alpha1
10, Alpha5
1, Alpha2
7, Alpha4
4, Alpha3
19, Alpha5
16, Alpha1
12, Alpha7
11, Alpha3
2, Alpha2
20, Alpha5
